# phase src dst weight
17 57 57 0.60000000
17 58 58 0.60000000
17 59 59 0.60000000
17 60 60 0.60000000
17 61 61 0.60000000
17 62 62 0.60000000
17 63 51 30.75000000
17 63 55 30.75000000
17 63 59 30.75000000
17 63 63 31.35000000
18 0 32 30.75000000
18 0 36 30.75000000
18 0 40 30.75000000
18 0 44 30.75000000
18 7 33 30.75000000
18 7 37 30.75000000
18 7 41 30.75000000
18 7 45 30.75000000
18 32 32 0.60000000
18 33 33 0.60000000
18 34 34 0.60000000
18 35 35 0.60000000
18 36 36 0.60000000
18 37 37 0.60000000
18 38 38 0.60000000
18 39 39 0.60000000
18 40 40 0.60000000
18 41 41 0.60000000
18 42 42 0.60000000
18 43 43 0.60000000
18 44 44 0.60000000
18 45 45 0.60000000
18 46 46 0.60000000
18 47 47 0.60000000
18 56 34 30.75000000
18 56 38 30.75000000
18 56 42 30.75000000
18 56 46 30.75000000
18 63 35 30.75000000
18 63 39 30.75000000
18 63 43 30.75000000
18 63 47 30.75000000
19 0 16 30.75000000
19 0 20 30.75000000
19 0 24 30.75000000
19 0 28 30.75000000
19 7 17 30.75000000
19 7 21 30.75000000
19 7 25 30.75000000
19 7 29 30.75000000
19 16 16 0.60000000
19 17 17 0.60000000
19 18 18 0.60000000
19 19 19 0.60000000
19 20 20 0.60000000
19 21 21 0.60000000
19 22 22 0.60000000
19 23 23 0.60000000
19 24 24 0.60000000
19 25 25 0.60000000
19 26 26 0.60000000
19 27 27 0.60000000
19 28 28 0.60000000
19 29 29 0.60000000
19 30 30 0.60000000
19 31 31 0.60000000
19 56 18 30.75000000
19 56 22 30.75000000
19 56 26 30.75000000
19 56 30 30.75000000
19 63 19 30.75000000
19 63 23 30.75000000
19 63 27 30.75000000
19 63 31 30.75000000
20 0 0 31.35000000
20 0 4 30.75000000
20 0 8 30.75000000
20 0 12 30.75000000
20 1 1 0.60000000
20 2 2 0.60000000
20 3 3 0.60000000
20 4 4 0.60000000
20 5 5 0.60000000
20 6 6 0.60000000
20 7 1 30.75000000
20 7 5 30.75000000
20 7 7 0.60000000
20 7 9 30.75000000
20 7 13 30.75000000
20 8 8 0.60000000
20 9 9 0.60000000
20 10 10 0.60000000
20 11 11 0.60000000
20 12 12 0.60000000
20 13 13 0.60000000
20 14 14 0.60000000
20 15 15 0.60000000
20 56 2 30.75000000
20 56 6 30.75000000
20 56 10 30.75000000
20 56 14 30.75000000
20 63 3 30.75000000
20 63 7 30.75000000
20 63 11 30.75000000
20 63 15 30.75000000
21 0 48 30.75000000
21 0 52 30.75000000
21 0 56 30.75000000
21 0 60 30.75000000
21 7 49 30.75000000
21 7 53 30.75000000
21 7 57 30.75000000
21 7 61 30.75000000
21 48 48 0.60000000
21 49 49 0.60000000
21 50 50 0.60000000
21 51 51 0.60000000
21 52 52 0.60000000
